street_fi,street_sv,lono,hino
Aimoonkuja,Masgränd,2,7
Anders Telininkuja,Anders Telinsgränd,1,6
Aspelininkuja,Aspelinsgränd,1,7
Bulderbackantie,Bulderbackavägen,1,11
Carlanderinkuja,Carlandersgränd,2,10
Fordellinkuja,Fordellsgränd,1,8
Gundahlinkuja,Gundalsgränd,1,13
Haapatie,Aspvägen,2,10
Hanhenkuja,Gåsgränd,1,9
Herastuomarinkuja,Tolvmansgränd,3,10
Hirsitie,Timmervägen,1,19
Högbackantie,Högbackavägen,2,28
Isosandsundinkuja,Storsandsundsgränd,10,34
Isosandsundintie,Storsandsundsvägen,18,131
Jakob Rijfinkuja,Jakob Rijfsgränd,1,9
Jakob Steeninkuja,Jakob Steensgränd,1,6
Johan Hansteninkuja,Johan Hanstensgränd,1,10
Johan Klubbinkuja,Johan Klubbsgränd,1,11
Juutintie,Jutvägen,1,33
Kalliotie,Bergvägen,2,6
Kangaslahdentie,Moviksvägen,3,8
Kapulakuja,Kavelbrogränd,1,23
Karhutie,Björnvägen,2,
Kivikuja,Stengränd,1,6
Kotipolku,Hemstigen,1,5
Koulutalonkuja,Skolhusgränd,3,13
Koulutalontie,Skolhusvägen,1,40
Kumputie,Klubbvägen,1,8
Kärkikuja,Nabbgränd,2,8
Laivankuja,Skeppsgränd,2,4
Laivanrakentajantie,Skeppsbyggarevägen,31,37
Lammenkuja,Träskgränd,3,6
Lammenrannantie,Träsklidvägen,1,13
Liljanlehdontie,Liljelundsvägen,1,27
Lillsandsundintie,Lillsandsundsvägen,4,11
Lillsansundintie,Lillsansundsvägen,8,
Lintukuja,Fågelgränd,1,7
Lodentie,Lodevägen,1,4
Lostisbackantie,Lostisbackavägen,2,8
Lotantie,Lottasvägen,2,4
Lotjankuja,Lodjegränd,2,8
Lähdetie,Käldvägen,3,10
Mats Försteninkuja,Mats Förstesgränd,1,6
Meijeritie,Mejerivägen,4,10
Metsokuja,Tjädergränd,1,8
Munterholmintie,Munterholmsvägen,1,14
Myllykuja,Kvarngränd,1,10
Mäkikuja,Backgränd,1,7
Nevantie,Mosavägen,1,3
Nybackantie,Nybackavägen,1,6
Näätäkuja,Mårdgränd,1,4
Peiponkuja,Bofinkgränd,1,4
Pikkukuja,Lillgränd,1,6
Portinintie,Portinsvägen,2,22
Punatulkuntie,Domherrevägen,1,22
Pännäistentie,Bennäsvägen,101,269
Ratatie,Banvägen,2,
Riihikuja,Rigränden,1,4
Ruorinkuja,Rodergränd,8,12
Sammalkuja,Mossgränd,1,3
Seksmanninkuja,Sexmansgränd,1,12
Skutnabbantie,Skutnabbavägen,10,445
Spangarintie,Spangarvägen,2,14
Staffansnäsinkuja,Staffansnäsgränd,1,11
Starabyntie,Starabyvägen,9,120
Uusikuja,Nygränd,4,
Verkvikinkuja,Verkviksgränd,1,19
Viklundinkaarros,Viklundssvängen,3,7
Värkkilahdentie,Verkviksvägen,3,23
